Timestamp,"
Which category do you belong to?  ",Gender ,Age,"  If you are a student, which year are you studying in? (Skip if working)  ",Do you use food delivery apps? ,Which app do you use the most? ,How many times do you order food online per week?  ,Average amount you spend per order (₹)  ,What time do you mostly order food? ,"On average, how much do you spend monthly on food delivery? ",Do you think your total food expense has increased after using food delivery apps? ,What motivates you the most to order food online? ,Do you feel your diet has become more unhealthy due to online food delivery?  ,How often do you skip homemade / mess / office canteen food due to online delivery?  ,You feel online food delivery affects your daily routine (study/work)?,"Have you noticed any health changes (weight gain, laziness, etc.) since using food apps? ",Rate your overall satisfaction with food delivery apps (1–5 stars) ,Rate each of the following (1–5):   [Factor],Rate each of the following (1–5):   [Delivery Time],Rate each of the following (1–5):   [Food Quality],Rate each of the following (1–5):   [Offers & Discounts],Rate each of the following (1–5):   [App Usability],Do you think online food delivery has become a “need” or just a “habit”?  ,Column 24,Column 25
03/11/2025 21:54:25,College Student 🎓,Male,21–23,3rd Year,Yes,Zomato,0–1 time,₹100–₹200,Lunch time,Below ₹500,"Yes, definitely! 💰",Discounts & Offers 🎁,Yes 😬,Rarely,"Yes, I waste time waiting",Yes,1,1,2,3,4,5,A need,,
03/11/2025 21:57:08,Working Professional 💼,Female,Above 23,Not applicable,Yes,Domino’s,0–1 time,₹200–₹400,Evening snacks,₹500–₹1000,A little bit,Laziness to cook 😅,Maybe a little,Sometimes,Not at all,Slightly,2,1,5,3,4,1,A need,,
07/11/2025 12:08:07,Other,Female,Below 18,1st Year,No,Others,4–5 times,Above ₹600,Late night cravings 🌙,₹500–₹1000,Not really,Peer influence (friends or colleagues ordering),"No, I balance it well",Sometimes,Sometimes,Slightly,2,1,2,1,3,1,Both 😄,,
07/11/2025 12:13:58,College Student 🎓,Male,21–23,3rd Year,No,Others,0–1 time,₹100–₹200,Evening snacks,Below ₹500,"Yes, definitely! 💰",Discounts & Offers 🎁,Yes 😬,Rarely,Not at all,Yes,3,2,3,2,3,3,A habit,,
07/11/2025 12:15:30,College Student 🎓,Male,21–23,3rd Year,Yes,Zomato,0–1 time,₹100–₹200,Evening snacks,₹500–₹1000,"Yes, definitely! 💰",Discounts & Offers 🎁,Maybe a little,Sometimes,"Yes, I waste time waiting",Slightly,2,2,2,3,2,2,A need,,
07/11/2025 12:16:07,Working Professional 💼,Female,Above 23,Not applicable,Yes,Zomato,More than 5 times 😋,Above ₹600,Late night cravings 🌙,Above ₹2000,"Yes, definitely! 💰",Discounts & Offers 🎁,Maybe a little,Almost every day 🍟,Not at all,Slightly,3,4,4,4,4,4,Both 😄,,
07/11/2025 12:16:11,Working Professional 💼,Female,Above 23,Not applicable,Yes,Zomato,More than 5 times 😋,Above ₹600,Late night cravings 🌙,Above ₹2000,"Yes, definitely! 💰",Discounts & Offers 🎁,Maybe a little,Almost every day 🍟,Not at all,Slightly,3,4,4,4,4,4,Both 😄,,
07/11/2025 12:16:19,Working Professional 💼,Female,Above 23,Not applicable,Yes,Zomato,More than 5 times 😋,Above ₹600,Late night cravings 🌙,Above ₹2000,"Yes, definitely! 💰",Discounts & Offers 🎁,Maybe a little,Almost every day 🍟,Not at all,Slightly,3,4,4,4,4,4,Both 😄,,
07/11/2025 12:16:20,College Student 🎓,Male,18–20,3rd Year,Yes,Blinkit,2–3 times,₹200–₹400,Lunch time,₹500–₹1000,A little bit,Laziness to cook 😅,Maybe a little,Often,Not at all,Slightly,3,1,1,1,2,4,A habit,,
07/11/2025 12:16:36,Working Professional 💼,Female,Above 23,Not applicable,Yes,Zomato,More than 5 times 😋,Above ₹600,Late night cravings 🌙,Above ₹2000,"Yes, definitely! 💰",Discounts & Offers 🎁,Maybe a little,Almost every day 🍟,Not at all,Slightly,3,4,4,4,4,4,Both 😄,,
07/11/2025 12:16:57,Working Professional 💼,Female,Above 23,Not applicable,Yes,Zomato,More than 5 times 😋,Above ₹600,Late night cravings 🌙,Above ₹2000,"Yes, definitely! 💰",Discounts & Offers 🎁,Maybe a little,Almost every day 🍟,Not at all,Slightly,3,4,4,4,4,4,Both 😄,,
07/11/2025 12:20:19,College Student 🎓,Female,21–23,2nd Year,Yes,Swiggy,More than 5 times 😋,₹400–₹600,Morning breakfast,₹1000–₹2000,No change,Late-night hunger,Maybe a little,Often,Not at all,No changes,4,1,2,3,5,4,A need,,
07/11/2025 12:20:26,College Student 🎓,Female,21–23,2nd Year,Yes,Swiggy,More than 5 times 😋,₹400–₹600,Morning breakfast,₹1000–₹2000,No change,Late-night hunger,Maybe a little,Often,Not at all,No changes,4,1,2,3,5,4,A need,,
07/11/2025 12:20:30,College Student 🎓,Female,21–23,2nd Year,Yes,Swiggy,More than 5 times 😋,₹400–₹600,Morning breakfast,₹1000–₹2000,No change,Late-night hunger,Maybe a little,Often,Not at all,No changes,4,1,2,3,5,4,A need,,
07/11/2025 12:20:35,College Student 🎓,Female,21–23,2nd Year,Yes,Swiggy,More than 5 times 😋,₹400–₹600,Morning breakfast,₹1000–₹2000,No change,Late-night hunger,Maybe a little,Often,Not at all,No changes,4,1,2,3,5,4,A need,,
07/11/2025 12:22:20,College Student 🎓,Male,21–23,4th Year,No,Others,2–3 times,₹400–₹600,Morning breakfast,₹500–₹1000,"Yes, definitely! 💰",Cravings,"No, I balance it well",Often,Sometimes,Slightly,5,1,2,3,4,4,Both 😄,,
07/11/2025 12:22:26,College Student 🎓,Male,21–23,4th Year,No,Others,2–3 times,₹400–₹600,Morning breakfast,₹500–₹1000,"Yes, definitely! 💰",Cravings,"No, I balance it well",Often,Sometimes,Slightly,5,1,2,3,4,4,Both 😄,,
07/11/2025 12:22:31,College Student 🎓,Male,21–23,4th Year,No,Others,2–3 times,₹400–₹600,Morning breakfast,₹500–₹1000,"Yes, definitely! 💰",Cravings,"No, I balance it well",Often,Sometimes,Slightly,5,1,2,3,4,4,Both 😄,,
07/11/2025 12:22:34,College Student 🎓,Male,21–23,4th Year,No,Others,2–3 times,₹400–₹600,Morning breakfast,₹500–₹1000,"Yes, definitely! 💰",Cravings,"No, I balance it well",Often,Sometimes,Slightly,5,1,2,3,4,4,Both 😄,,
07/11/2025 12:22:39,College Student 🎓,Male,21–23,4th Year,No,Others,2–3 times,₹400–₹600,Morning breakfast,₹500–₹1000,"Yes, definitely! 💰",Cravings,"No, I balance it well",Often,Sometimes,Slightly,5,1,2,3,4,4,Both 😄,,
07/11/2025 12:23:51,Other,Female,Above 23,Not applicable,No,Others,0–1 time,₹100–₹200,Late night cravings 🌙,Below ₹500,"Yes, definitely! 💰",Laziness to cook 😅,"No, I balance it well",Often,Sometimes,No changes,1,1,1,1,1,1,Both 😄,,
07/11/2025 12:23:54,Other,Female,Above 23,Not applicable,No,Others,0–1 time,₹100–₹200,Late night cravings 🌙,Below ₹500,"Yes, definitely! 💰",Laziness to cook 😅,"No, I balance it well",Often,Sometimes,No changes,1,1,1,1,1,1,Both 😄,,
07/11/2025 12:23:57,Other,Female,Above 23,Not applicable,No,Others,0–1 time,₹100–₹200,Late night cravings 🌙,Below ₹500,"Yes, definitely! 💰",Laziness to cook 😅,"No, I balance it well",Often,Sometimes,No changes,1,1,1,1,1,1,Both 😄,,
07/11/2025 12:23:59,Other,Female,Above 23,Not applicable,No,Others,0–1 time,₹100–₹200,Late night cravings 🌙,Below ₹500,"Yes, definitely! 💰",Laziness to cook 😅,"No, I balance it well",Often,Sometimes,No changes,1,1,1,1,1,1,Both 😄,,
07/11/2025 12:24:07,Other,Female,Above 23,Not applicable,No,Others,0–1 time,₹100–₹200,Late night cravings 🌙,Below ₹500,"Yes, definitely! 💰",Laziness to cook 😅,"No, I balance it well",Often,Sometimes,No changes,1,1,1,1,1,1,Both 😄,,
07/11/2025 12:25:12,College Student 🎓,Male,18–20,1st Year,Yes,Blinkit,More than 5 times 😋,Above ₹600,Evening snacks,Above ₹2000,Not really,Late-night hunger,"No, I balance it well",Almost every day 🍟,Not at all,No changes,5,4,4,4,4,4,Both 😄,,
07/11/2025 12:25:16,College Student 🎓,Male,18–20,1st Year,Yes,Blinkit,More than 5 times 😋,Above ₹600,Evening snacks,Above ₹2000,Not really,Late-night hunger,"No, I balance it well",Almost every day 🍟,Not at all,No changes,5,4,4,4,4,4,Both 😄,,
07/11/2025 12:25:18,College Student 🎓,Male,18–20,1st Year,Yes,Blinkit,More than 5 times 😋,Above ₹600,Evening snacks,Above ₹2000,Not really,Late-night hunger,"No, I balance it well",Almost every day 🍟,Not at all,No changes,5,4,4,4,4,4,Both 😄,,
07/11/2025 12:25:20,College Student 🎓,Male,18–20,1st Year,Yes,Blinkit,More than 5 times 😋,Above ₹600,Evening snacks,Above ₹2000,Not really,Late-night hunger,"No, I balance it well",Almost every day 🍟,Not at all,No changes,5,4,4,4,4,4,Both 😄,,
07/11/2025 12:25:21,College Student 🎓,Male,18–20,1st Year,Yes,Blinkit,More than 5 times 😋,Above ₹600,Evening snacks,Above ₹2000,Not really,Late-night hunger,"No, I balance it well",Almost every day 🍟,Not at all,No changes,5,4,4,4,4,4,Both 😄,,
07/11/2025 12:25:22,College Student 🎓,Male,Above 23,3rd Year,No,Others,0–1 time,₹100–₹200,Evening snacks,Below ₹500,A little bit,Laziness to cook 😅,Yes 😬,Sometimes,Sometimes,Slightly,2,2,3,3,3,3,A need,,
07/11/2025 12:25:38,College Student 🎓,Male,18–20,1st Year,Yes,Blinkit,More than 5 times 😋,Above ₹600,Evening snacks,Above ₹2000,Not really,Late-night hunger,"No, I balance it well",Almost every day 🍟,Not at all,No changes,5,4,4,4,4,4,Both 😄,,
07/11/2025 12:54:25,College Student 🎓,Male,21–23,3rd Year,Yes,Blinkit,4–5 times,₹400–₹600,Late night cravings 🌙,₹500–₹1000,A little bit,Cravings,Maybe a little,Almost every day 🍟,Sometimes,Slightly,5,3,2,5,5,5,A habit,,
07/11/2025 12:56:27,Working Professional 💼,Female,Above 23,Not applicable,Yes,Blinkit,2–3 times,₹200–₹400,Lunch time,₹1000–₹2000,Not really,Cravings,Maybe a little,Rarely,Not at all,Slightly,4,5,5,5,5,5,A need,,
07/11/2025 14:01:33,College Student 🎓,Male,21–23,3rd Year,Yes,Zomato,0–1 time,₹200–₹400,Evening snacks,Below ₹500,A little bit,Discounts & Offers 🎁,Maybe a little,Sometimes,Not at all,Slightly,3,1,5,3,4,2,A need,,
07/11/2025 14:33:09,Working Professional 💼,Female,Above 23,Not applicable,Yes,Blinkit,0–1 time,₹200–₹400,Evening snacks,Below ₹500,A little bit,Cravings,Maybe a little,Sometimes,Sometimes,No changes,4,4,5,4,4,5,Both 😄,,
07/11/2025 14:54:21,Working Professional 💼,Male,Above 23,2nd Year,Yes,Zomato,0–1 time,Above ₹600,Late night cravings 🌙,Above ₹2000,A little bit,Cravings,"No, I balance it well",Rarely,Not at all,Slightly,4,2,4,3,4,3,Both 😄,,
07/11/2025 14:58:20,College Student 🎓,Male,18–20,1st Year,Yes,Zomato,0–1 time,₹100–₹200,Evening snacks,Below ₹500,"Yes, definitely! 💰",Cravings,"No, I balance it well",Sometimes,"Yes, I waste time waiting",Yes,3,3,3,3,3,3,A need,,
07/11/2025 15:03:41,Working Professional 💼,Male,Above 23,Not applicable,Yes,Swiggy,0–1 time,₹100–₹200,Evening snacks,Below ₹500,Not really,Discounts & Offers 🎁,"No, I balance it well",Rarely,"Yes, I waste time waiting",No changes,3,1,2,3,4,3,A need,,
11/11/2025 20:20:20,Other,Female,Below 18,Not applicable,Yes,Zomato,0–1 time,₹200–₹400,Lunch time,₹500–₹1000,A little bit,Laziness to cook 😅,Maybe a little,Rarely,"Yes, I waste time waiting",Yes,2,5,4,3,2,1,Both 😄,,
11/11/2025 20:22:49,Working Professional 💼,Male,Above 23,Not applicable,Yes,Domino’s,4–5 times,Above ₹600,Evening snacks,Above ₹2000,Not really,Discounts & Offers 🎁,"No, I balance it well",Sometimes,Sometimes,Yes,5,5,5,5,5,5,A habit,,
11/11/2025 20:26:23,College Student 🎓,Male,21–23,3rd Year,No,Domino’s,2–3 times,₹200–₹400,Lunch time,₹1000–₹2000,A little bit,Peer influence (friends or colleagues ordering),Maybe a little,Sometimes,Sometimes,Slightly,4,2,2,3,1,4,Both 😄,,
23/11/2025 10:44:16,Other,Male,21–23,Not applicable,No,Blinkit,2–3 times,₹200–₹400,Lunch time,₹500–₹1000,"Yes, definitely! 💰",Laziness to cook 😅,Yes 😬,Rarely,Sometimes,Yes,3,1,2,3,2,1,A need,,
23/11/2025 14:01:03,College Student 🎓,Male,18–20,2nd Year,Yes,Swiggy,2–3 times,₹200–₹400,Evening snacks,₹500–₹1000,A little bit,Laziness to cook 😅,Maybe a little,Sometimes,Sometimes,Slightly,4,2,4,3,4,5,A habit,,
23/11/2025 14:02:47,Working Professional 💼,Female,21–23,Not applicable,Yes,Zomato,0–1 time,₹100–₹200,Lunch time,Below ₹500,Not really,Discounts & Offers 🎁,"No, I balance it well",Rarely,Not at all,No changes,3,1,3,3,5,4,A need,,
